PROTEIN	SOURCE	LENGTH	UNIPROT_ID	Tm_(C)
UTP--glucose-1-phosphate uridylyltransferase 	Escherichia coli	302	P0AEP3	45.65
Protein GlcG	Escherichia coli	134	P0AEQ1	55.54
Glutamine-binding periplasmic protein 	Escherichia coli	248	P0AEQ3	62.01
Bifunctional glutathionylspermidine synthetase/amidase 	Escherichia coli	619	P0AES0	53.34
Glucarate dehydratase 	Escherichia coli	446	P0AES2	54.8
DNA gyrase subunit A 	Escherichia coli	875	P0AES4	57.72
DNA gyrase subunit B 	Escherichia coli	804	P0AES6	52.5
Acid stress chaperone HdeA 	Escherichia coli	110	P0AES9	56.38
Acid stress chaperone HdeB 	Escherichia coli	108	P0AET2	56.83
Histidine-binding periplasmic protein 	Escherichia coli	260	P0AEU0	51.11
Maltose/maltodextrin-binding periplasmic protein 	Escherichia coli	396	P0AEX9	62.44
Molybdenum cofactor biosynthesis protein B	Escherichia coli	170	P0AEZ9	56.73
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 	Escherichia coli	232	P0AF12	56.76
N-acetylglucosamine-6-phosphate deacetylase 	Escherichia coli	382	P0AF18	58.64
Uncharacterized protein YjbR	Escherichia coli	118	P0AF50	60.62
HTH-type transcriptional repressor NsrR	Escherichia coli	141	P0AF63	51.25
Na(+)/H(+) antiporter NhaB 	Escherichia coli	513	P0AFA7	49.09
NADH-quinone oxidoreductase subunit E 	Escherichia coli	166	P0AFD1	59.18
NADH-quinone oxidoreductase subunit I 	Escherichia coli	180	P0AFD6	46.2
Transcription termination/antitermination protein NusA 	Escherichia coli	495	P0AFF6	43.76
Transcription termination/antitermination protein NusG	Escherichia coli	181	P0AFG0	50.06
2-oxoglutarate dehydrogenase E1 component 	Escherichia coli	933	P0AFG3	48.52
Pyruvate dehydrogenase E1 component 	Escherichia coli	887	P0AFG8	43.51
Metalloprotease PmbA 	Escherichia coli	450	P0AFK0	58.9
Peptidyl-prolyl cis-trans isomerase A 	Escherichia coli	190	P0AFL3	55.32
Glycine betaine/proline betaine-binding periplasmic protein 	Escherichia coli	330	P0AFM2	53.94
Phage shock protein A	Escherichia coli	222	P0AFM6	53.87
Phage shock protein B	Escherichia coli	74	P0AFM9	69.45
Riboflavin synthase 	Escherichia coli	213	P0AFU8	47.35
Sigma-E factor regulatory protein RseB	Escherichia coli	318	P0AFX9	46.53
Stringent starvation protein B 	Escherichia coli	165	P0AFZ3	58.26
Ribulose-phosphate 3-epimerase 	Escherichia coli	225	P0AG07	56.48
Amidophosphoribosyltransferase 	Escherichia coli	505	P0AG16	49.47
N5-carboxyaminoimidazole ribonucleotide mutase 	Escherichia coli	169	P0AG18	67.4
Uncharacterized protein YibN	Escherichia coli	143	P0AG27	52.37
Transcription termination factor Rho 	Escherichia coli	419	P0AG30	45.66
50S ribosomal protein L30 	Escherichia coli	59	P0AG51	55.84
50S ribosomal protein L6 	Escherichia coli	177	P0AG55	66.37
30S ribosomal protein S14 	Escherichia coli	101	P0AG59	62.88
30S ribosomal protein S1 	Escherichia coli	557	P0AG67	47.63
Sulfate-binding protein 	Escherichia coli	329	P0AG78	69.22
sn-glycerol-3-phosphate-binding periplasmic protein UgpB	Escherichia coli	438	P0AG80	56.02
Uncharacterized oxidoreductase YghA 	Escherichia coli	294	P0AG84	50.27
Protein-export protein SecB 	Escherichia coli	155	P0AG86	58.69
Phosphoserine phosphatase 	Escherichia coli	322	P0AGB0	43.92
ECF RNA polymerase sigma-E factor 	Escherichia coli	191	P0AGB6	47.94
Soluble lytic murein transglycosylase 	Escherichia coli	645	P0AGC3	46.94
Superoxide dismutase [Cu-Zn] 	Escherichia coli	173	P0AGD1	67.94
Single-stranded DNA-binding protein 	Escherichia coli	178	P0AGE0	66.8
Quinone reductase 	Escherichia coli	188	P0AGE6	59.96
Succinate--CoA ligase [ADP-forming] subunit alpha 	Escherichia coli	289	P0AGE9	49.67
Thiamine-monophosphate kinase 	Escherichia coli	325	P0AGG0	55.77
Acyl-CoA thioesterase 2 	Escherichia coli	286	P0AGG2	52.29
Metalloprotease TldD 	Escherichia coli	481	P0AGG8	64.71
Uncharacterized tRNA/rRNA methyltransferase YfiF 	Escherichia coli	345	P0AGJ5	43.61
Tyrosine--tRNA ligase 	Escherichia coli	424	P0AGJ9	53.07
50S ribosomal protein L18 	Escherichia coli	117	P0C018	64.34
Pyrimidine/purine nucleoside phosphorylase 	Escherichia coli	94	P0C037	55.43
Nucleoid occlusion factor SlmA 	Escherichia coli	198	P0C093	46.06
Periplasmic serine endoprotease DegP 	Escherichia coli	474	P0C0V0	49.7
D-tagatose-1	Escherichia coli	284	P0C8J6	50.14
D-tagatose-1	Escherichia coli	420	P0C8J8	48.99
Elongation factor Tu 1 	Escherichia coli	394	P0CE47	49.97
Putative lipoprotein AcfD homolog	Escherichia coli	1520	P0CK95	63.88
Glycerophosphodiester phosphodiesterase	Escherichia coli	247	P10908	56.33
Argininosuccinate lyase 	Escherichia coli	457	P11447	59.09
Enterobactin synthase component F 	Escherichia coli	1293	P11454	47.01
Arginine--tRNA ligase 	Escherichia coli	577	P11875	48.16
Molybdopterin molybdenumtransferase 	Escherichia coli	411	P12281	51.62
Uridine phosphorylase 	Escherichia coli	253	P12758	63.8
UPF0098 protein YbhB	Escherichia coli	158	P12994	53.83
Biotin synthase 	Escherichia coli	346	P12996	46.52
Methionine synthase 	Escherichia coli	1227	P13009	44.46
Protein FdhE	Escherichia coli	309	P13024	46.24
Catalase-peroxidase 	Escherichia coli	726	P13029	50.75
RNA polymerase sigma factor RpoS 	Escherichia coli	330	P13445	44.61
Periplasmic trehalase 	Escherichia coli	565	P13482	63.82
UDP-N-acetylmuramoylalanine--D-glutamate ligase 	Escherichia coli	438	P14900	48.6
Xaa-Pro aminopeptidase 	Escherichia coli	441	P15034	57.27
DNA ligase 	Escherichia coli	671	P15042	46.18
Phosphoribosylformylglycinamidine synthase 	Escherichia coli	1295	P15254	46.35
Cytosol non-specific dipeptidase 	Escherichia coli	485	P15288	64.8
Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase 	Escherichia coli	529	P15639	50.71
Phosphoribosylamine--glycine ligase 	Escherichia coli	429	P15640	45.9
Deoxyguanosinetriphosphate triphosphohydrolase 	Escherichia coli	505	P15723	46.9
Selenide	Escherichia coli	347	P16456	41.66
Proline--tRNA ligase 	Escherichia coli	572	P16659	47.12
Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL 	Escherichia coli	226	P16679	50.21
Thiosulfate-binding protein	Escherichia coli	338	P16700	60.45
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase 	Escherichia coli	556	P17109	43.8
Arabinose 5-phosphate isomerase GutQ 	Escherichia coli	321	P17115	55.12
Oxygen-insensitive NADPH nitroreductase 	Escherichia coli	240	P17117	51.84
Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 	Escherichia coli	609	P17169	46.52
Sulfite reductase [NADPH] hemoprotein beta-component 	Escherichia coli	570	P17846	44.47
Phosphoadenosine phosphosulfate reductase 	Escherichia coli	244	P17854	47.39
Nicotinate phosphoribosyltransferase 	Escherichia coli	400	P18133	45.74
Acetylornithine/succinyldiaminopimelate aminotransferase 	Escherichia coli	406	P18335	46.61
Uncharacterized protein YjjA 	Escherichia coli	164	P18390	57.71
NH(3)-dependent NAD(+) synthetase 	Escherichia coli	275	P18843	45.09
Glutathione hydrolase proenzyme 	Escherichia coli	580	P18956	60.45
Glucose-1-phosphatase 	Escherichia coli	413	P19926	58.4
Biotin sulfoxide reductase 	Escherichia coli	777	P20099	45.95
Sulfate adenylyltransferase subunit 2 	Escherichia coli	302	P21156	46.34
Xaa-Pro dipeptidase 	Escherichia coli	443	P21165	47.03
Biosynthetic arginine decarboxylase 	Escherichia coli	658	P21170	53.23
Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta	Escherichia coli	729	P21177	48.6
Probable hydrolase YcaC 	Escherichia coli	208	P21367	56.68
Pyruvate kinase II 	Escherichia coli	480	P21599	48.77
Cysteine--tRNA ligase 	Escherichia coli	461	P21888	54.5
Aspartate--tRNA ligase 	Escherichia coli	590	P21889	59.72
Asparagine synthetase B [glutamine-hydrolyzing] 	Escherichia coli	554	P22106	46.65
3'(2'),5'-bisphosphate nucleotidase CysQ 	Escherichia coli	246	P22255	55.6
4-aminobutyrate aminotransferase GabT 	Escherichia coli	426	P22256	69.54
Phosphoenolpyruvate carboxykinase 	Escherichia coli	540	P22259	46.15
Chromosome partition protein MukB 	Escherichia coli	1486	P22523	45.28
Protein MalY [Includes: Cystathionine beta-lyase MalY 	Escherichia coli	390	P23256	60.65
Phosphoenolpyruvate synthase 	Escherichia coli	792	P23538	47.84
Phosphoserine aminotransferase 	Escherichia coli	362	P23721	59.92
Ecotin	Escherichia coli	162	P23827	58.37
Transcriptional regulatory protein PhoP	Escherichia coli	223	P23836	42.6
UPF0701 protein YicC	Escherichia coli	287	P23839	47.83
Periplasmic oligopeptide-binding protein	Escherichia coli	543	P23843	55.71
Sulfate adenylyltransferase subunit 1 	Escherichia coli	475	P23845	46.04
Periplasmic dipeptide transport protein 	Escherichia coli	535	P23847	69.62
Tail-specific protease 	Escherichia coli	682	P23865	43.49
Peptidyl-prolyl cis-trans isomerase B 	Escherichia coli	164	P23869	46.4
Methionyl-tRNA formyltransferase 	Escherichia coli	315	P23882	48.2
Acetylornithine deacetylase 	Escherichia coli	383	P23908	45.85
Fructokinase 	Escherichia coli	302	P23917	62.98
Biotin carboxylase 	Escherichia coli	449	P24182	45.9
Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase 	Escherichia coli	288	P24186	60.96
ATP-dependent DNA helicase RecG 	Escherichia coli	693	P24230	68.39
S-(hydroxymethyl)glutathione dehydrogenase	Escherichia coli	369	P25437	49.75
Aconitate hydratase A 	Escherichia coli	891	P25516	49.02
Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	Escherichia coli	482	P25526	55.96
Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase 	Escherichia coli	367	P25539	51.09
Lactaldehyde dehydrogenase 	Escherichia coli	479	P25553	60.58
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 	Escherichia coli	753	P25665	48.12
Lipopolysaccharide core biosynthesis protein RfaG 	Escherichia coli	374	P25740	60.37
Pyridoxine 4-dehydrogenase 	Escherichia coli	286	P25906	48.81
Cytoplasmic alpha-amylase 	Escherichia coli	495	P26612	55.2
NAD-dependent malic enzyme 	Escherichia coli	565	P26616	41.29
Probable acrylyl-CoA reductase AcuI 	Escherichia coli	324	P26646	47.01
Aminomethyltransferase 	Escherichia coli	364	P27248	48.66
Aldehyde reductase Ahr 	Escherichia coli	339	P27250	54.74
Oligopeptidase A 	Escherichia coli	680	P27298	54.24
Transketolase 1 	Escherichia coli	663	P27302	51.22
50S ribosomal protein L16 3-hydroxylase 	Escherichia coli	373	P27431	45.47
Acetyl-coenzyme A synthetase 	Escherichia coli	652	P27550	48.48
UDP-N-acetylglucosamine 2-epimerase 	Escherichia coli	376	P27828	58.4
dTDP-glucose 4	Escherichia coli	355	P27830	42.3
Quinone oxidoreductase 1 	Escherichia coli	327	P28304	57.47
Trehalose-6-phosphate hydrolase 	Escherichia coli	551	P28904	41.36
Alanine racemase	Escherichia coli	356	P29012	58.34
UPF0502 protein YceH 	Escherichia coli	215	P29217	50.41
Peptidase T 	Escherichia coli	408	P29745	52.34
3-isopropylmalate dehydrogenase 	Escherichia coli	363	P30125	57.79
Uncharacterized protein YbiB	Escherichia coli	320	P30177	69.51
Hydroxycarboxylate dehydrogenase B 	Escherichia coli	361	P30178	47.63
Methionine import ATP-binding protein MetN 	Escherichia coli	343	P30750	46.49
Exoribonuclease 2 	Escherichia coli	644	P30850	45.46
Putative ABC transporter arginine-binding protein 2	Escherichia coli	243	P30859	60.27
ABC transporter arginine-binding protein 1	Escherichia coli	243	P30860	58.8
Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme 	Escherichia coli	946	P30870	50.86
Transcription-repair-coupling factor 	Escherichia coli	1148	P30958	44.91
Phosphoglucosamine mutase 	Escherichia coli	445	P31120	57.3
Putrescine-binding periplasmic protein PotF	Escherichia coli	370	P31133	68.85
3-mercaptopyruvate sulfurtransferase 	Escherichia coli	281	P31142	54.8
Protein/nucleic acid deglycase 1 	Escherichia coli	283	P31658	56.57
Pantothenate synthetase 	Escherichia coli	283	P31663	46.42
Bifunctional NAD(P)H-hydrate repair enzyme Nnr	Escherichia coli	515	P31806	56.12
NADH-quinone oxidoreductase subunit F 	Escherichia coli	445	P31979	65.17
50S ribosomal subunit assembly factor BipA	Escherichia coli	607	P32132	46.68
Protein YiiM	Escherichia coli	224	P32157	45.95
UPF0381 protein YiiS	Escherichia coli	99	P32162	50.24
Phosphoglycolate phosphatase 	Escherichia coli	252	P32662	49.64
Uncharacterized protein YjaG	Escherichia coli	196	P32680	46.15
Zinc-binding GTPase YeiR 	Escherichia coli	328	P33030	46.25
Glucans biosynthesis protein G	Escherichia coli	511	P33136	57.66
Glycine dehydrogenase 	Escherichia coli	957	P33195	62.28
Formate-dependent phosphoribosylglycinamide formyltransferase 	Escherichia coli	392	P33221	43.4
Putative acyl-CoA dehydrogenase AidB 	Escherichia coli	541	P33224	47.08
Glycine betaine-binding protein YehZ	Escherichia coli	305	P33362	54.43
Periplasmic beta-glucosidase 	Escherichia coli	765	P33363	58.5
Transketolase 2 	Escherichia coli	667	P33570	50.66
NADH-quinone oxidoreductase subunit C/D 	Escherichia coli	596	P33599	49.99
NADH-quinone oxidoreductase subunit G 	Escherichia coli	908	P33602	40.81
Nucleoid-associated protein YejK	Escherichia coli	335	P33920	42.57
Alkyl hydroperoxide reductase subunit F 	Escherichia coli	521	P35340	60.41
Adenosylcobinamide-GDP ribazoletransferase 	Escherichia coli	247	P36561	61.03
Aconitate hydratase B 	Escherichia coli	865	P36683	45.8
Recombination-associated protein RdgC	Escherichia coli	303	P36767	48.64
Phosphoglucomutase 	Escherichia coli	546	P36938	58.52
Dual-specificity RNA methyltransferase RlmN 	Escherichia coli	384	P36979	57.52
Formyltetrahydrofolate deformylase 	Escherichia coli	280	P37051	58.61
Molybdate-binding protein ModA 	Escherichia coli	257	P37329	65.19
Malate synthase G 	Escherichia coli	723	P37330	66.96
PEP-dependent dihydroxyacetone kinase	Escherichia coli	472	P37349	49.25
Isoaspartyl peptidase 	Escherichia coli	321	P37595	62.26
Alpha-ketoglutarate-dependent taurine dioxygenase 	Escherichia coli	283	P37610	57.1
Uncharacterized protein YhiN	Escherichia coli	400	P37631	61.53
Ribosomal RNA large subunit methyltransferase J 	Escherichia coli	280	P37634	61.68
Glyoxylate/hydroxypyruvate reductase B 	Escherichia coli	324	P37666	45.52
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Escherichia coli	514	P37689	58.52
Glucose-1-phosphate thymidylyltransferase 1 	Escherichia coli	293	P37744	52.05
dTDP-4-dehydrorhamnose 3	Escherichia coli	185	P37745	44.17
UDP-galactopyranose mutase 	Escherichia coli	367	P37747	48.96
dTDP-glucose 4	Escherichia coli	361	P37759	44.3
dTDP-4-dehydrorhamnose reductase 	Escherichia coli	299	P37760	46.26
UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2	Escherichia coli	457	P37773	58.09
Chitooligosaccharide deacetylase ChbG 	Escherichia coli	249	P37794	66.9
Glutamate/aspartate import solute-binding protein	Escherichia coli	302	P37902	60.62
Sulfite reductase [NADPH] flavoprotein alpha-component 	Escherichia coli	599	P38038	50.85
Oxygen-insensitive NAD(P)H nitroreductase	Escherichia coli	217	P38489	46.93
Uncharacterized protein YggL	Escherichia coli	108	P38521	46.21
Periplasmic pH-dependent serine endoprotease DegQ 	Escherichia coli	455	P39099	59.37
High-affinity zinc uptake system protein ZnuA	Escherichia coli	310	P39172	67.92
Putative glucose-6-phosphate 1-epimerase 	Escherichia coli	294	P39173	56.8
Antigen 43 	Escherichia coli	1039	P39180	52.03
Uncharacterized protein YtfJ	Escherichia coli	184	P39187	58.66
50S ribosomal protein L3 glutamine methyltransferase 	Escherichia coli	310	P39199	45.47
Uncharacterized protein YjdJ	Escherichia coli	90	P39274	52.53
Small ribosomal subunit biogenesis GTPase RsgA 	Escherichia coli	350	P39286	42.67
Quinone oxidoreductase 2 	Escherichia coli	286	P39315	45.73
Galactofuranose-binding protein YtfQ	Escherichia coli	318	P39325	49.36
N-acetylneuraminate epimerase 	Escherichia coli	368	P39371	47.21
Ribosomal RNA small subunit methyltransferase C 	Escherichia coli	343	P39406	48.56
Glucans biosynthesis protein D	Escherichia coli	551	P40120	50.82
N-methyl-L-tryptophan oxidase 	Escherichia coli	372	P40874	54.63
Glutathionyl-hydroquinone reductase YqjG 	Escherichia coli	328	P42620	66.65
GTPase ObgE/CgtA 	Escherichia coli	390	P42641	44.53
Inner membrane protein YrbG	Escherichia coli	325	P45394	46.73
Arabinose 5-phosphate isomerase KdsD 	Escherichia coli	328	P45395	55.89
Protein/nucleic acid deglycase 2 	Escherichia coli	172	P45470	61.23
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA 	Escherichia coli	270	P45523	41.77
1-deoxy-D-xylulose 5-phosphate reductoisomerase 	Escherichia coli	398	P45568	55.1
S-ribosylhomocysteine lyase 	Escherichia coli	171	P45578	44.99
Threonylcarbamoyl-AMP synthase 	Escherichia coli	190	P45748	43.89
Uncharacterized protein YrdD	Escherichia coli	180	P45771	51.12
ADP compounds hydrolase NudE 	Escherichia coli	186	P45799	55.24
Cell division coordinator CpoB	Escherichia coli	263	P45955	57.04
Protein YhgF	Escherichia coli	773	P46837	48.18
Quercetin 2	Escherichia coli	231	P46852	57.39
Uncharacterized oxidoreductase YhhX 	Escherichia coli	345	P46853	62.3
4-aminobutyrate aminotransferase PuuE 	Escherichia coli	421	P50457	48.35
Protein YecM	Escherichia coli	188	P52007	55.28
dITP/XTP pyrophosphatase 	Escherichia coli	197	P52061	47.88
Constitutive lysine decarboxylase 	Escherichia coli	713	P52095	69.43
D-lactate dehydrogenase 	Escherichia coli	329	P52643	64.08
6-phosphogluconolactonase 	Escherichia coli	331	P52697	56.09
Putative carboxymethylenebutenolidase 	Escherichia coli	271	P56262	55.06
50S ribosomal protein L2 	Escherichia coli	273	P60422	67.33
Guanylate kinase 	Escherichia coli	207	P60546	45.95
GMP reductase 	Escherichia coli	347	P60560	47.44
Imidazole glycerol phosphate synthase subunit HisH 	Escherichia coli	196	P60595	42.39
50S ribosomal protein L24 	Escherichia coli	104	P60624	69.86
Imidazole glycerol phosphate synthase subunit HisF 	Escherichia coli	258	P60664	50.65
50S ribosomal protein L4 	Escherichia coli	201	P60723	66.1
ATP phosphoribosyltransferase 	Escherichia coli	299	P60757	46.84
Histidine--tRNA ligase 	Escherichia coli	424	P60906	45.26
50S ribosomal protein L22 	Escherichia coli	110	P61175	46.75
Outer-membrane lipoprotein carrier protein 	Escherichia coli	203	P61316	52.93
Carbonic anhydrase 2 	Escherichia coli	220	P61517	55.33
Malate dehydrogenase 	Escherichia coli	312	P61889	54.99
Flavodoxin 1 	Escherichia coli	176	P61949	46.99
50S ribosomal protein L5 	Escherichia coli	179	P62399	67.07
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase 	Escherichia coli	372	P62620	44.2
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	250	P62707	49.03
Chaperone protein ClpB 	Escherichia coli	857	P63284	47.3
Uncharacterized protein YebV	Escherichia coli	78	P64503	52.33
Uncharacterized protein YebY	Escherichia coli	113	P64506	65.77
Uncharacterized protein YraP	Escherichia coli	191	P64596	46.11
Flavodoxin YqcA	Escherichia coli	149	P65367	54.47
Uncharacterized Nudix hydrolase YfcD 	Escherichia coli	180	P65556	42.06
UPF0337 protein YjbJ	Escherichia coli	69	P68206	52.84
30S ribosomal protein S21 	Escherichia coli	71	P68679	49.71
50S ribosomal protein L25 	Escherichia coli	94	P68919	66.86
Translation initiation factor IF-1	Escherichia coli	72	P69222	57.96
Adenylate kinase 	Escherichia coli	214	P69441	42.55
Adenine phosphoribosyltransferase 	Escherichia coli	183	P69503	55.45
Major outer membrane lipoprotein Lpp 	Escherichia coli	78	P69776	47.56
PTS system glucose-specific EIIA component 	Escherichia coli	169	P69783	68.82
PTS system glucose-specific EIICB component 	Escherichia coli	477	P69786	44.2
PTS system mannose-specific EIIAB component 	Escherichia coli	323	P69797	60.17
PTS system galactitol-specific EIIA component 	Escherichia coli	150	P69828	42.48
Nitrogen regulatory protein 	Escherichia coli	163	P69829	67.17
Glutamate decarboxylase alpha 	Escherichia coli	466	P69908	65.86
Glutamate decarboxylase beta 	Escherichia coli	466	P69910	62.89
Carbon storage regulator 	Escherichia coli	61	P69913	65.71
Ribonucleoside-diphosphate reductase 1 subunit beta 	Escherichia coli	376	P69924	51.61
